AECGRegion,AgeID,ASGSRemoteness,Average of Average of Latitude,Average of Average of Longitude,Average of Average of PostCode,Day,Day_4,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,ICSEA_Value,indigenous_pct,LateOpeningSchool,lbote_pct,lga,LocalHealthDistrict,Month,Month_3,OperationalDirectorate,OpportunityClass,Phone,Preschool,PrincipalNetwork,Quarter,Quarter_2,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses,Year,Year_1
Lower North Coast,1,Inner Regional Australia,-30.30196,153.120372,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6651 3991,Cowper,880,24,No,27,Coffs Harbour (C),Mid North Coast,July,March,Tamworth & Coffs Harbour,No,6652 3355,No,Coffs Harbour,Qtr 3,Qtr 1,1,coffsharb-p.school@det.nsw.edu.au,Co-Ed,Primary School,Coffs Harbour Public School,Comprehensive,Kinder to Year 6,Not Selective,7 Salamander Street,428,Coffs Harbour,"",2017,1885
Lower North Coast,1,Inner Regional Australia,-30.305319,153.135846,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6651 4004,Cowper,965,8,No,13,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6652 3466,No,Coffs Harbour,Qtr 3,Qtr 1,1,coffsharb-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Coffs Harbour High School,Comprehensive,Year 7 to Year 12,Not Selective,336 Harbour Drive,901.2,Coffs Harbour,"",2017,1939
Lower North Coast,1,Inner Regional Australia,-30.283852,153.112362,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6651 4096,Cowper,884,26,No,13,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6652 4488,No,Coffs Harbour,Qtr 3,Qtr 1,1,tyalla-p.school@det.nsw.edu.au,Co-Ed,Primary School,Tyalla Public School,Comprehensive,Kinder to Year 6,Not Selective,Joyce St,331,Coffs Harbour,"",2017,1978
Lower North Coast,1,Inner Regional Australia,-30.347588,153.071794,2450.00,3,29,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 2638,Cowper,,48,No,np,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 1855,No,Coffs Harbour,Qtr 3,Qtr 1,1,Coffshbrlc-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Coffs Harbour Learning Centre,Comprehensive,Behaviour Disorder,Not Selective,Linden Ave,21,Boambee,"",2017,2007
Lower North Coast,1,Inner Regional Australia,-30.365945,152.981586,2441.00,3,7,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 4081,Cowper,974,np,No,np,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 4295,No,Coffs Harbour,Qtr 3,Qtr 1,1,crossmagle-p.school@det.nsw.edu.au,Co-Ed,Primary School,Crossmaglen Public School,Comprehensive,Kinder to Year 6,Not Selective,384 Crossmaglen Rd,20,Crossmaglen,"",2017,1936
Lower North Coast,1,Inner Regional Australia,-30.379782,153.032316,2441.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 4092,Cowper,1007,4,No,6,Coffs Harbour (C),Mid North Coast,July,April,Tamworth & Coffs Harbour,No,6653 4250,No,Coffs Harbour,Qtr 3,Qtr 2,1,bonville-p.school@det.nsw.edu.au,Co-Ed,Primary School,Bonville Public School,Comprehensive,Kinder to Year 6,Not Selective,11 Gleniffer Rd,140,Bonville,"",2017,1888
Lower North Coast,1,Inner Regional Australia,-30.254553,153.131921,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 6776,Cowper,1012,7,No,9,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 6201,No,Coffs Harbour,Qtr 3,Qtr 1,1,kororo-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kororo Public School,Comprehensive,Kinder to Year 6,Not Selective,3 Korora School Road,638,Korora,"",2017,1893
Lower North Coast,1,Inner Regional Australia,-30.289005,153.01324,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 8425,Cowper,1016,0,No,0,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 8255,No,Coffs Harbour,Qtr 3,Qtr 1,1,oraraupper-p.school@det.nsw.edu.au,Co-Ed,Primary School,Orara Upper Public School,Comprehensive,Kinder to Year 6,Not Selective,770 Upper Orara Road,30,Upper Orara,"",2017,1891
Lower North Coast,1,Inner Regional Australia,-30.252411,153.047767,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6653 8478,Page,1017,10,No,4,Coffs Harbour (C),Mid North Coast,July,April,Tamworth & Coffs Harbour,No,6653 8284,No,Coffs Harbour,Qtr 3,Qtr 2,1,karangi-p.school@det.nsw.edu.au,Co-Ed,Primary School,Karangi Public School,Comprehensive,Kinder to Year 6,Not Selective,Coffs Harbour-Coramba Rd,130,Karangi,"",2017,1892
Lower North Coast,1,Inner Regional Australia,-30.112673,153.196501,2456.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 0028,Page,962,8,No,34,Coffs Harbour (C),Mid North Coast,July,February,Tamworth & Coffs Harbour,No,6654 1305,No,Coffs Harbour,Qtr 3,Qtr 1,1,woolgoolga-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woolgoolga Public School,Comprehensive,Kinder to Year 6,Not Selective,Scarborough St,352,Woolgoolga,"",2017,1884
Lower North Coast,1,Inner Regional Australia,-30.100448,153.190225,2456.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 1936,Page,958,11,No,12,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6654 1500,No,Coffs Harbour,Qtr 3,Qtr 1,1,woolgoolga-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Woolgoolga High School,Comprehensive,Year 7 to Year 12,Not Selective,Centenary Drive,837.8,Woolgoolga,"",2017,1981
Lower North Coast,1,Inner Regional Australia,-30.077958,153.190183,2456.00,3,31,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 2751,Page,969,13,No,5,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6654 0377,No,Coffs Harbour,Qtr 3,Qtr 1,1,mullaway-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mullaway Public School,Comprehensive,Kinder to Year 6,Not Selective,Old Pacific Hwy,205,Mullaway,"",2017,1994
Lower North Coast,1,Inner Regional Australia,-30.221578,153.011513,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 4009,Page,891,19,No,np,Coffs Harbour (C),Mid North Coast,July,May,Tamworth & Coffs Harbour,No,6654 4227,No,Coffs Harbour,Qtr 3,Qtr 2,1,coramba-p.school@det.nsw.edu.au,Co-Ed,Primary School,Coramba Public School,Comprehensive,Kinder to Year 6,Not Selective,6 Short St,37,Coramba,"",2017,1888
Lower North Coast,1,Inner Regional Australia,-30.153584,153.186496,2456.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6656 1624,Page,963,13,No,5,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6656 1777,No,Coffs Harbour,Qtr 3,Qtr 1,1,sandybeach-p.school@det.nsw.edu.au,Co-Ed,Primary School,Sandy Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,Saye Close,344,Sandy Beach,"",2017,1985
Lower North Coast,1,Inner Regional Australia,-30.35347,153.08335,2452.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6658 2287,Cowper,908,21,No,9,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,Yes,6653 2122,No,Coffs Harbour,Qtr 3,Qtr 1,1,toormina-p.school@det.nsw.edu.au,Co-Ed,Primary School,Toormina Public School,Comprehensive,Kinder to Year 6,Not Selective,Cavanba Rd,275,Toormina,"",2017,1979
Lower North Coast,1,Inner Regional Australia,-30.351016,153.084399,2452.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6658 2310,Cowper,928,14,No,8,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 3077,No,Coffs Harbour,Qtr 3,Qtr 1,1,toormina-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Toormina High School,Comprehensive,Year 7 to Year 12,Not Selective,Armstrong Drive,704.8,Toormina,"",2017,1980
Lower North Coast,1,Inner Regional Australia,-30.363316,153.09764,2452.00,3,8,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6658 2384,Cowper,988,12,No,4,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 1666,No,Coffs Harbour,Qtr 3,Qtr 1,1,sawtell-p.school@det.nsw.edu.au,Co-Ed,Primary School,Sawtell Public School,Comprehensive,Kinder to Year 6,Not Selective,32-36 Eleventh Ave,333,Sawtell,"",2017,1924
Lower North Coast,1,Inner Regional Australia,-30.334055,153.077009,2450.00,3,2,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6658 2543,Cowper,985,11,No,5,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6653 1107,No,Coffs Harbour,Qtr 3,Qtr 1,1,boambee-p.school@det.nsw.edu.au,Co-Ed,Primary School,Boambee Public School,Comprehensive,Kinder to Year 6,Not Selective,30 Lindsays Rd,428,Boambee,"",2017,1902
Lower North Coast,1,Inner Regional Australia,-30.363714,153.080348,2452.00,3,4,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6658 2664,Cowper,869,33,No,np,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6658 2676,No,Coffs Harbour,Qtr 3,Qtr 1,1,bayldon-p.school@det.nsw.edu.au,Co-Ed,Primary School,William Bayldon Public School,Comprehensive,Kinder to Year 6,Not Selective,Lyons Rd,196,Sawtell,"",2017,1992
Lower North Coast,1,Inner Regional Australia,-30.330173,153.102656,2450.00,3,28,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6659 3009,Cowper,,5,No,7,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6659 3054,No,Coffs Harbour,Qtr 3,Qtr 1,1,coffsharbs-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Coffs Harbour Senior College,Senior College,Year 11 to Year 12,Not Selective,363 Hogbin Drive,471.8,Coffs Harbour,"",2017,1995
Lower North Coast,1,Inner Regional Australia,-31.059616,152.802757,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 6030,Cowper,600,100,No,0,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6562 5591,No,Mid North Coast,Qtr 3,Qtr 1,1,greenhill-p.school@det.nsw.edu.au,Co-Ed,Primary School,Green Hill Public School,Comprehensive,Kinder to Year 6,Not Selective,196 River Street,23,West Kempsey,"",2017,1890
Lower North Coast,1,Inner Regional Australia,-31.078377,152.8301,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 6538,Cowper,780,48,No,np,Kempsey (A),Mid North Coast,July,October,Tamworth & Coffs Harbour,No,6562 7044,No,Mid North Coast,Qtr 3,Qtr 4,1,kempseywst-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kempsey West Public School,Comprehensive,Kinder to Year 6,Not Selective,Marsh St,376,West Kempsey,"",2017,1860
Lower North Coast,1,Inner Regional Australia,-31.09002,152.825104,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 7405,Cowper,889,26,No,4,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6562 7511,No,Mid North Coast,Qtr 3,Qtr 1,1,melville-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Melville High School,Comprehensive,Year 7 to Year 12,Not Selective,Nicholson St,690,Kempsey,"",2017,1983
Lower North Coast,1,Inner Regional Australia,-31.055771,152.786972,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 7506,Cowper,902,25,No,3,Kempsey (A),Mid North Coast,July,June,Tamworth & Coffs Harbour,No,6563 1141,No,Mid North Coast,Qtr 3,Qtr 2,1,aldavilla-p.school@det.nsw.edu.au,Co-Ed,Primary School,Aldavilla Public School,Comprehensive,Kinder to Year 6,Not Selective,Sherwood Rd,303,Yarravel,"",2017,1871
Lower North Coast,1,Inner Regional Australia,-31.094959,152.829888,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 7645,Cowper,720,73,No,np,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6562 7033,No,Mid North Coast,Qtr 3,Qtr 1,1,kempseysth-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kempsey South Public School,Comprehensive,Kinder to Year 6,Not Selective,21 Queen St,124,Kempsey,"",2017,1960
Lower North Coast,1,Inner Regional Australia,-31.06806,152.824202,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 8570,Cowper,855,28,No,3,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6562 6166,No,Mid North Coast,Qtr 3,Qtr 1,1,kempsey-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kempsey High School,Comprehensive,Year 7 to Year 12,Not Selective,Broughton St,449.6,Kempsey,"",2017,1930
Lower North Coast,1,Inner Regional Australia,-31.083703,152.846861,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6562 8979,Cowper,900,22,No,4,Kempsey (A),Mid North Coast,July,October,Tamworth & Coffs Harbour,No,6562 4927,No,Mid North Coast,Qtr 3,Qtr 4,1,kempseyest-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kempsey East Public School,Comprehensive,Kinder to Year 6,Not Selective,Innes St,221,Kempsey,"",2017,1881
Lower North Coast,1,Inner Regional Australia,-31.188089,152.970345,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6566 0617,Cowper,975,14,No,np,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6566 0255,No,Mid North Coast,Qtr 3,Qtr 1,1,crescenthd-p.school@det.nsw.edu.au,Co-Ed,Primary School,Crescent Head Public School,Comprehensive,Kinder to Year 6,Not Selective,Pacific St,192,Crescent Head,"",2017,1921
Lower North Coast,1,Inner Regional Australia,-31.033583,152.879353,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6566 8519,Cowper,903,21,No,np,Kempsey (A),Mid North Coast,July,July,Tamworth & Coffs Harbour,No,6566 8217,No,Mid North Coast,Qtr 3,Qtr 3,1,frederick-p.school@det.nsw.edu.au,Co-Ed,Primary School,Frederickton Public School,Comprehensive,Kinder to Year 6,Not Selective,Great North Rd,151,Frederickton,"",2017,1861
Lower North Coast,1,Inner Regional Australia,-31.450894,152.731158,2446.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6585 2445,Lyne,924,13,No,2,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6585 1400,No,Hastings,Qtr 3,Qtr 1,1,wauchope-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Wauchope High School,Comprehensive,Year 7 to Year 12,Not Selective,Nelson St,614.4,Wauchope,"",2017,1954
Lower North Coast,1,Inner Regional Australia,-31.455935,152.729534,2446.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6585 2449,Lyne,928,16,No,2,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6585 2277,No,Hastings,Qtr 3,Qtr 1,1,wauchope-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wauchope Public School,Comprehensive,Kinder to Year 6,Not Selective,Waugh St,693,Wauchope,"",2017,1868
Lower North Coast,1,Inner Regional Australia,-31.435535,152.68094,2446.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6585 6000,Lyne,972,11,No,5,Port Macquarie-Hastings (A),Mid North Coast,July,August,Tamworth & Coffs Harbour,No,6585 6136,No,Hastings,Qtr 3,Qtr 3,1,beechwood-p.school@det.nsw.edu.au,Co-Ed,Primary School,Beechwood Public School,Comprehensive,Kinder to Year 6,Not Selective,614 Beechwood Road,128,Wauchope,"",2017,1869
Lower North Coast,1,Inner Regional Australia,-31.478214,152.660607,2446.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6585 6469,Lyne,941,16,No,np,Port Macquarie-Hastings (A),Mid North Coast,July,July,Tamworth & Coffs Harbour,No,6585 6144,No,Hastings,Qtr 3,Qtr 3,1,huntingdon-p.school@det.nsw.edu.au,Co-Ed,Primary School,Huntingdon Public School,Comprehensive,Kinder to Year 6,Not Selective,2876 Oxley Highway,55,Wauchope,"",2017,1868
Lower North Coast,1,Inner Regional Australia,-31.437823,152.48612,2446.00,3,5,No,Mid North Coast & Northern NSW,Oxley,No,6587 4334,Lyne,936,23,No,0,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6587 4255,No,Hastings,Qtr 3,Qtr 1,1,longflat-p.school@det.nsw.edu.au,Co-Ed,Primary School,Long Flat Public School,Comprehensive,Kinder to Year 6,Not Selective,5077 Oxley Highway,43,Long Flat,"",2017,1933
Lower North Coast,1,Inner Regional Australia,-30.446021,153.029037,2454.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6655 4570,Cowper,1030,np,No,np,Bellingen (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6655 4201,No,Coffs Harbour,Qtr 3,Qtr 1,1,repton-p.school@det.nsw.edu.au,Co-Ed,Primary School,Repton Public School,Comprehensive,Kinder to Year 6,Not Selective,River St,59,Repton,"",2017,1915
Lower North Coast,1,Inner Regional Australia,-31.435345,152.895386,2444.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,026584 0335,Cowper,927,13,No,6,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,026583 6400,No,Hastings,Qtr 3,Qtr 1,1,westport-h.school@det.nsw.edu.au,Co-Ed,Secondary School,"Hastings Secondary College, Westport Campus",Comprehensive,Year 7 to Year 12,Not Selective,Findlay Ave,500.8,Port Macquarie,"",2017,1981
Lower North Coast,1,Inner Regional Australia,-31.453116,152.9182,2444.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,6582 1380,Cowper,1034,5,No,6,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6582 2566,No,Hastings,Qtr 3,Qtr 1,1,hastings-p.school@det.nsw.edu.au,Co-Ed,Primary School,Hastings Public School,Comprehensive,Kinder to Year 6,Not Selective,85 Yarranabee Road,672,Port Macquarie,"",2017,1982
Lower North Coast,1,Inner Regional Australia,-31.472138,152.926418,2444.00,3,14,No,Mid North Coast & Northern NSW,Port Macquarie,No,6582 2326,Cowper,1049,5,No,6,Port Macquarie-Hastings (A),Mid North Coast,July,October,Tamworth & Coffs Harbour,No,6582 3478,No,Hastings,Qtr 3,Qtr 4,1,tackingpt-p.school@det.nsw.edu.au,Co-Ed,Primary School,Tacking Point Public School,Comprehensive,Kinder to Year 6,Not Selective,Bangalay Drive,764,Port Macquarie,"",2017,1996
Lower North Coast,1,Inner Regional Australia,-31.437349,152.893038,2444.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,6583 4809,Cowper,885,21,No,6,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6583 2944,No,Hastings,Qtr 3,Qtr 1,1,westport-p.school@det.nsw.edu.au,Co-Ed,Primary School,Westport Public School,Comprehensive,Kinder to Year 6,Not Selective,Widderson St,315,Port Macquarie,"",2017,1970
Lower North Coast,1,Inner Regional Australia,-31.429869,152.913872,2444.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,6584 1265,Cowper,928,16,No,7,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,Yes,6583 2977,No,Hastings,Qtr 3,Qtr 1,1,portmac-p.school@det.nsw.edu.au,Co-Ed,Primary School,Port Macquarie Public School,Comprehensive,Kinder to Year 6,Not Selective,Grant St,442,Port Macquarie,"",2017,1852
Lower North Coast,1,Inner Regional Australia,-31.433295,152.92069,2444.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,6584 1632,Cowper,971,10,No,6,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6583 1844,No,Hastings,Qtr 3,Qtr 1,1,portmac-h.school@det.nsw.edu.au,Co-Ed,Secondary School,"Hastings Secondary College, Port Macquarie Campus",Comprehensive,Year 7 to Year 12,Not Selective,Owen & Burrawan Sts,667.8,Port Macquarie,"",2017,1962
Lower North Coast,1,Inner Regional Australia,-31.334143,152.793129,2441.00,3,1,No,Mid North Coast & Northern NSW,Port Macquarie,No,6585 0550,Cowper,970,9,No,np,Port Macquarie-Hastings (A),Mid North Coast,July,February,Tamworth & Coffs Harbour,No,6585 0224,No,Hastings,Qtr 3,Qtr 1,1,telegrappt-p.school@det.nsw.edu.au,Co-Ed,Primary School,Telegraph Point Public School,Comprehensive,Kinder to Year 6,Not Selective,Pacific Hwy,112,Telegraph Point,"",2017,1876
Lower North Coast,1,Inner Regional Australia,-31.429869,152.913872,2444.00,3,8,S,Mid North Coast & Northern NSW,Port Macquarie,No,6584 1210,Cowper,997,8,No,12,Port Macquarie-Hastings (A),Mid North Coast,July,October,Tamworth & Coffs Harbour,No,6584 1118,No,Hastings,Qtr 3,Qtr 4,1,northeast-d.school@det.nsw.edu.au,Co-Ed,Primary School,North East Public School Of Distance Education,Comprehensive,Kinder to Year 6,Not Selective,School St,212,Port Macquarie,"",2017,2004
Lower North Coast,1,Outer Regional Australia,-30.294514,152.422727,2453.00,3,1,No,Mid North Coast & Northern NSW,Clarence,No,6657 6182,Page,998,np,No,0,Clarence Valley (A),Northern NSW,July,July,Tamworth & Coffs Harbour,No,6657 6155,No,Mid North Coast,Qtr 3,Qtr 3,1,hernani-p.school@det.nsw.edu.au,Co-Ed,Primary School,Hernani Public School,Comprehensive,Kinder to Year 6,Not Selective,Armidale-Grafton Rd,7,Dorrigo,"",2017,1897
Lower North Coast,1,Outer Regional Australia,-30.189493,152.542649,2453.00,3,2,No,Mid North Coast & Northern NSW,Clarence,No,6657 8051,Page,844,0,No,np,Clarence Valley (A),Northern NSW,July,January,Tamworth & Coffs Harbour,No,6657 8133,No,Mid North Coast,Qtr 3,Qtr 1,1,dundurrabi-p.school@det.nsw.edu.au,Co-Ed,Primary School,Dundurrabin Public School,Comprehensive,Kinder to Year 6,Not Selective,70 Mount St,24,Dundurrabin,"",2017,1904
Lower North Coast,1,Outer Regional Australia,-30.135619,153.006206,2450.00,3,1,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 3549,Page,952,10,No,5,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6654 3202,No,Coffs Harbour,Qtr 3,Qtr 1,1,nanaglen-p.school@det.nsw.edu.au,Co-Ed,Primary School,Nana Glen Public School,Comprehensive,Kinder to Year 6,Not Selective,Coffs Harbour-Grafton Rd,120,Nana Glen,"",2017,1892
Lower North Coast,1,Outer Regional Australia,-30.243019,152.884857,2450.00,3,8,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 5263,Cowper,894,np,No,np,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6654 5242,No,Coffs Harbour,Qtr 3,Qtr 1,1,ulong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Ulong Public School,Comprehensive,Kinder to Year 6,Not Selective,Hutchison St,25,Ulong,"",2017,1910
Lower North Coast,1,Outer Regional Australia,-30.20722,152.899923,2450.00,3,9,No,Mid North Coast & Northern NSW,Coffs Harbour,No,6654 5370,Page,851,36,No,np,Coffs Harbour (C),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6654 5243,No,Coffs Harbour,Qtr 3,Qtr 1,1,lowanna-p.school@det.nsw.edu.au,Co-Ed,Primary School,Lowanna Public School,Comprehensive,Kinder to Year 6,Not Selective,Coramba Rd,33,Lowanna,"",2017,1912
Lower North Coast,1,Outer Regional Australia,-31.605308,152.472736,2429.00,3,4,No,Mid North Coast & Northern NSW,Oxley,No,6550 4002,Lyne,905,np,No,0,Port Macquarie-Hastings (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6550 4174,No,Hastings,Qtr 3,Qtr 1,1,comboyne-p.school@det.nsw.edu.au,Co-Ed,Primary School,Comboyne Public School,Comprehensive,Kinder to Year 6,Not Selective,Hill St,28,Comboyne,"",2017,1922
Lower North Coast,1,Outer Regional Australia,-30.779087,152.69016,2447.00,3,3,No,Mid North Coast & Northern NSW,Oxley,No,6564 2147,Cowper,969,0,No,0,Nambucca (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,6564 2145,No,Mid North Coast,Qtr 3,Qtr 1,1,medlow-p.school@det.nsw.edu.au,Co-Ed,Primary School,Medlow Public School,Comprehensive,Kinder to Year 6,Not Selective,Taylors Arm Rd,8,Medlow,"",2017,1903
Lower North Coast,1,Outer Regional Australia,-30.645289,152.853898,2449.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6564 7801,Cowper,845,36,No,3,Nambucca (A),Mid North Coast,July,September,Tamworth & Coffs Harbour,No,6564 7162,No,Mid North Coast,Qtr 3,Qtr 3,1,bowraville-c.school@det.nsw.edu.au,Co-Ed,Central/Community School,Bowraville Central School,Comprehensive,Kinder to Year 12,Not Selective,23 High Street,254.4,Bowraville,"",2017,1872
Lower North Coast,1,Outer Regional Australia,-30.891502,153.039879,2431.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6566 6676,Cowper,975,13,No,3,Kempsey (A),Mid North Coast,July,May,Tamworth & Coffs Harbour,No,6566 6208,No,Mid North Coast,Qtr 3,Qtr 2,1,sthwestroc-p.school@det.nsw.edu.au,Co-Ed,Primary School,South West Rocks Public School,Comprehensive,Kinder to Year 6,Not Selective,Gregory Street,298,South West Rocks,"",2017,1897
Lower North Coast,1,Outer Regional Australia,-30.925714,152.625518,2440.00,3,3,No,Mid North Coast & Northern NSW,Oxley,No,6567 1489,Cowper,832,34,No,20,Kempsey (A),Mid North Coast,July,January,Tamworth & Coffs Harbour,No,02 6567 1231,No,Mid North Coast,Qtr 3,Qtr 1,1,willawarri-p.school@det.nsw.edu.au,Co-Ed,Primary School,Willawarrin Public School,Comprehensive,Kinder to Year 6,Not Selective,85-91 Main Street,47,Willawarrin,"",2017,1901
Lower North Coast,1,Outer Regional Australia,-30.819094,152.508698,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6567 2113,Cowper,838,52,No,np,Kempsey (A),Mid North Coast,July,February,Tamworth & Coffs Harbour,No,6567 2049,No,Mid North Coast,Qtr 3,Qtr 1,1,bellbrook-p.school@det.nsw.edu.au,Co-Ed,Primary School,Bellbrook Public School,Comprehensive,Kinder to Year 6,Not Selective,Main St,31,Bellbrook,"",2017,1883
Lower North Coast,1,Outer Regional Australia,-30.991064,152.995063,2440.00,3,1,No,Mid North Coast & Northern NSW,Oxley,No,6567 4689,Cowper,939,np,No,0,Kempsey (A),Mid North Coast,July,July,Tamworth & Coffs Harbour,No,6567 4828,No,Mid North Coast,Qtr 3,Qtr 3,1,kinchela-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kinchela Public School,Comprehensive,Kinder to Year 6,Not Selective,5 Right Bank Rd,26,Kinchela,"",2017,1881
