AECGRegion,AgeID,ASGSRemoteness,Year,Quarter,Month,Day,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,Year,Quarter,Month,Day,ICSEA_Value,indigenous_pct,LateOpeningSchool,Average of Latitude,lbote_pct,lga,LocalHealthDistrict,OperationalDirectorate,Average of Longitude,OpportunityClass,Phone,Average of PostCode,preschool,PrincipalNetwork,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6543 7712,New England,1864,Qtr 1,February,1,917,10,No,-32.166098,4,Upper Hunter Shire (A),Hunter New England,Tamworth & Coffs Harbour,150.888095,No,6543 7271,2336.00,No,Wollemi,1,aberdeen-p.school@det.nsw.edu.au,Co-Ed,Primary School,Aberdeen Public School,Comprehensive,Kinder to Year 6,Not Selective,Segenhoe St,241,Aberdeen,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6545 3046,New England,1863,Qtr 1,January,1,956,10,No,-32.049446,3,Upper Hunter Shire (A),Hunter New England,Tamworth & Coffs Harbour,150.863855,No,6545 1049,2337.00,No,Wollemi,1,scone-p.school@det.nsw.edu.au,Co-Ed,Primary School,Scone Public School,Comprehensive,Kinder to Year 6,Not Selective,Liverpool St,479,Scone,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6545 3269,New England,1964,Qtr 1,January,1,935,10,No,-32.05813,2,Upper Hunter Shire (A),Hunter New England,Tamworth & Coffs Harbour,150.873111,No,6545 1455,2337.00,No,Wollemi,1,scone-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Scone High School,Comprehensive,Year 7 to Year 12,Not Selective,Gundy Rd,384,Scone,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6547 2603,Hunter,1883,Qtr 1,January,1,934,19,No,-32.385734,0,Muswellbrook (A),Hunter New England,Tamworth & Coffs Harbour,150.686009,No,6547 2491,2328.00,No,Wollemi,1,denman-p.school@det.nsw.edu.au,Co-Ed,Primary School,Denman Public School,Comprehensive,Kinder to Year 6,Not Selective,Paxton St,178,Denman,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6547 4450,Hunter,1877,Qtr 2,April,1,948,np,No,-32.336471,0,Muswellbrook (A),Hunter New England,Tamworth & Coffs Harbour,150.569007,No,6547 4521,2333.00,No,Wollemi,1,sandyhollo-p.school@det.nsw.edu.au,Co-Ed,Primary School,Sandy Hollow Public School,Comprehensive,Kinder to Year 6,Not Selective,1581 Golden Highway,29,Sandy Hollow,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6571 1177,Hunter,1979,Qtr 1,January,1,900,18,No,-32.569546,3,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.175266,No,6572 2281,2330.00,No,Hunter,1,kingstreet-p.school@det.nsw.edu.au,Co-Ed,Primary School,King Street Public School,Comprehensive,Kinder to Year 6,Not Selective,King St,362,Singleton,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6572 3076,Hunter,1956,Qtr 1,January,1,968,12,No,-32.563135,7,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.171752,No,6571 2250,2330.00,No,Hunter,1,singleton-p.school@det.nsw.edu.au,Co-Ed,Primary School,Singleton Public School,Comprehensive,Kinder to Year 6,Not Selective,Hunter St,462,Singleton,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6572 4889,Hunter,1956,Qtr 1,January,1,945,11,No,-32.569684,3,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.177593,No,6571 1199,2330.00,No,Hunter,1,singleton-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Singleton High School,Comprehensive,Year 7 to Year 12,Not Selective,75-81 York Street,1195.2,Singleton,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6573 1414,Hunter,1978,Qtr 1,January,1,953,11,No,-32.549203,7,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.163955,No,6573 1363,2330.00,No,Hunter,1,singletonh-p.school@det.nsw.edu.au,Co-Ed,Primary School,Singleton Heights Public School,Comprehensive,Kinder to Year 6,Not Selective,Dorsman Drive,573,Singleton Heights,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6574 7227,Hunter,1882,Qtr 1,February,1,1034,0,No,-32.609773,np,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.290092,No,6574 7152,2335.00,No,Hunter,1,kirkton-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kirkton Public School,Comprehensive,Kinder to Year 6,Not Selective,797 Standen Drive,41,Belford,
Hunter,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Upper Hunter,No,6577 3103,Hunter,1880,Qtr 2,May,1,943,16,No,-32.408483,0,Singleton (A),Hunter New England,Tamworth & Coffs Harbour,151.188781,No,6577 3129,2330.00,No,Hunter,1,mtpleasant-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mount Pleasant Public School,Comprehensive,Kinder to Year 6,Not Selective,Goorangoola Rd,56,Singleton,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4930 3105,Paterson,1881,Qtr 3,August,1,1009,8,No,-32.838523,np,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.617131,No,4930 3137,2322.00,No,Maitland,1,blackhill-p.school@det.nsw.edu.au,Co-Ed,Primary School,Black Hill Public School,Comprehensive,Kinder to Year 6,Not Selective,408 Black Hill Rd,103,Black Hill,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4930 4319,Paterson,1905,Qtr 1,January,8,887,22,No,-32.80892,np,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.426499,No,4930 4210,2326.00,No,Hunter,1,abermain-p.school@det.nsw.edu.au,Co-Ed,Primary School,Abermain Public School,Comprehensive,Kinder to Year 6,Not Selective,Goulburn St,264,Abermain,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4936 1128,Paterson,1904,Qtr 1,January,10,905,17,No,-32.821099,2,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.478156,No,4937 1235,2327.00,No,Hunter,1,kurrikurri-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kurri Kurri Public School,Comprehensive,Kinder to Year 6,Not Selective,Lang St,654,Kurri Kurri,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4936 1178,Paterson,1903,Qtr 1,January,5,,16,No,-32.823423,np,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.495438,No,4937 1192,2327.00,No,Hunter,1,stanmerthi-p.school@det.nsw.edu.au,Co-Ed,Infants School,Stanford Merthyr Infants School,Comprehensive,Kinder to Year 2,Not Selective,Maitland St,68,Stanford Merthyr,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4936 1204,Paterson,1903,Qtr 1,January,5,916,9,No,-32.831923,4,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.484743,No,4937 1314,2327.00,No,Hunter,1,pelawmain-p.school@det.nsw.edu.au,Co-Ed,Primary School,Pelaw Main Public School,Comprehensive,Kinder to Year 6,Not Selective,Abermain St,247,Pelaw Main,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4936 1210,Paterson,1905,Qtr 1,January,1,875,20,No,-32.809043,4,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.461023,No,4937 1318,2326.00,No,Hunter,1,weston-p.school@det.nsw.edu.au,Co-Ed,Primary School,Weston Public School,Comprehensive,Kinder to Year 6,Not Selective,20 Sixth Street,186,Weston,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4937 3773,Paterson,1956,Qtr 1,January,1,910,12,No,-32.810142,2,Cessnock (C),Hunter New England,Tamworth & Coffs Harbour,151.486294,No,4937 1877,2327.00,No,Hunter,1,kurrikurri-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kurri Kurri High School,Comprehensive,Year 7 to Year 12,Not Selective,Stanford & Deakin Sts,833.8,Kurri Kurri,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4950 8174,Hunter,1891,Qtr 2,April,1,954,17,No,-32.922892,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.620387,No,4958 1831,2285.00,Yes,Lake Macquarie West,1,edgeworth-p.school@det.nsw.edu.au,Co-Ed,Primary School,Edgeworth Public School,Comprehensive,Kinder to Year 6,Not Selective,Minmi Rd,618,Edgeworth,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4953 1886,Hunter,1964,Qtr 1,January,1,928,14,No,-32.910565,2,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.581083,No,4953 2111,2286.00,No,Lake Macquarie West,1,westwalls-h.school@det.nsw.edu.au,Co-Ed,Secondary School,West Wallsend High School,Comprehensive,Year 7 to Year 12,Not Selective,2 Appletree Rd,557.1,West Wallsend,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4953 3094,Hunter,1865,Qtr 4,December,1,951,11,No,-32.933094,3,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.594552,No,4953 2976,2278.00,No,Lake Macquarie West,1,barnsley-p.school@det.nsw.edu.au,Co-Ed,Primary School,Barnsley Public School,Comprehensive,Kinder to Year 6,Not Selective,Cliffbrook St,283,Barnsley,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4953 3131,Hunter,1889,Qtr 1,January,1,926,10,No,-32.904606,3,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.580707,No,4953 2930,2286.00,No,Lake Macquarie West,1,westwalls-p.school@det.nsw.edu.au,Co-Ed,Primary School,West Wallsend Public School,Comprehensive,Kinder to Year 6,Not Selective,Brown St,217,West Wallsend,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Cessnock,No,4958 4386,Hunter,1958,Qtr 1,January,1,953,10,No,-32.924431,4,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.609209,No,4958 1180,2285.00,No,Lake Macquarie West,1,edgeworthh-p.school@det.nsw.edu.au,Co-Ed,Primary School,Edgeworth Heights Public School,Comprehensive,Kinder to Year 6,Not Selective,Ridley St,386,Edgeworth,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 1049,Newcastle,1968,Qtr 1,January,1,1042,3,No,-32.947137,10,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.706868,No,4943 3281,2289.00,No,Newcastle,1,kotara-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kotara High School,Comprehensive,Year 7 to Year 12,Not Selective,Lexington Pde,1106.5,Adamstown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 1552,Shortland,1958,Qtr 1,January,10,1017,8,No,-32.947882,11,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.682275,No,4943 4898,2289.00,No,Lake Macquarie East,1,gardensub-p.school@det.nsw.edu.au,Co-Ed,Primary School,Garden Suburb Public School,Comprehensive,Kinder to Year 6,Not Selective,Prospect Rd,233,Garden Suburb,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2565,Shortland,1959,Qtr 1,January,1,907,20,No,-32.985494,4,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.691142,No,4943 5755,2290.00,No,Lake Macquarie East,1,hunterspt-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Hunter Sports High School,Sports,Year 7 to Year 12,Not Selective,Pacific Hwy,737.7,Gateshead,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2568,Shortland,1963,Qtr 1,January,1,997,5,No,-32.972025,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.712234,No,4943 3966,2290.00,No,Lake Macquarie East,1,whitebridg-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Whitebridge High School,Comprehensive,Year 7 to Year 12,Not Selective,Lonus Ave,964.9,Whitebridge,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2570,Shortland,1982,Qtr 1,January,5,,np,No,-32.95885,13,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.680211,No,4943 3479,2290.00,No,Newcastle,1,newcastlej-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Newcastle Junior School,Comprehensive,Medium / High Support needs,Not Selective,64 Hillsborough Rd,58,Hillsborough,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2575,Shortland,1959,Qtr 1,January,9,1028,4,No,-32.971176,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.704693,No,4943 5173,2290.00,No,Lake Macquarie East,1,charlestoe-p.school@det.nsw.edu.au,Co-Ed,Primary School,Charlestown East Public School,Comprehensive,Kinder to Year 6,Not Selective,James St,217,Charlestown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2578,Shortland,1963,Qtr 1,January,1,1001,12,No,-32.96765,7,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.688181,No,4943 5827,2290.00,No,Lake Macquarie East,1,charlestos-p.school@det.nsw.edu.au,Co-Ed,Primary School,Charlestown South Public School,Comprehensive,Kinder to Year 6,Not Selective,Patricia Ave,205,Charlestown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2579,Shortland,1963,Qtr 1,January,1,1015,5,No,-32.959966,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.68003,No,4943 5695,2290.00,No,Lake Macquarie East,1,hillsboro-p.school@det.nsw.edu.au,Co-Ed,Primary School,Hillsborough Public School,Comprehensive,Kinder to Year 6,Not Selective,Waratah Ave,281,Charlestown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2583,Shortland,1879,Qtr 2,April,1,998,7,No,-32.965494,24,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.697486,No,4943 4063,2290.00,No,Lake Macquarie East,1,charlestow-p.school@det.nsw.edu.au,Co-Ed,Primary School,Charlestown Public School,Comprehensive,Kinder to Year 6,Not Selective,Frederick St,139,Charlestown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2589,Shortland,1950,Qtr 1,January,9,850,27,No,-32.984172,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.691355,No,4943 4357,2290.00,No,Lake Macquarie East,1,wiripaang-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wiripaang Public School,Comprehensive,Kinder to Year 6,Not Selective,Pacific Hwy,233,Gateshead,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 2590,Shortland,1938,Qtr 1,January,1,1039,3,No,-32.964902,12,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.713608,No,4943 4501,2290.00,No,Lake Macquarie East,1,kahibah-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kahibah Public School,Comprehensive,Kinder to Year 6,Not Selective,Frith St,316,Kahibah,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 6097,Shortland,1892,Qtr 1,January,1,1095,3,No,-32.989387,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.716816,No,4944 7203,2290.00,No,Lake Macquarie East,1,dudley-p.school@det.nsw.edu.au,Co-Ed,Primary School,Dudley Public School,Comprehensive,Kinder to Year 6,Not Selective,Ocean & Boundary Sts,262,Dudley,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 6098,Shortland,1908,Qtr 1,January,9,1089,6,No,-33.011646,7,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.711425,No,4944 7215,2290.00,No,Lake Macquarie East,1,redhead-p.school@det.nsw.edu.au,Co-Ed,Primary School,Redhead Public School,Comprehensive,Kinder to Year 6,Not Selective,Hutchinson St,285,Redhead,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4942 8437,Shortland,1955,Qtr 1,January,1,1075,2,No,-32.990502,7,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.64262,No,4946 8927,2282.00,No,Lake Macquarie East,1,eleebana-p.school@det.nsw.edu.au,Co-Ed,Primary School,Eleebana Public School,Comprehensive,Kinder to Year 6,Not Selective,Ian St,623,Eleebana,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4943 4022,Shortland,1977,Qtr 1,January,2,,24,No,-32.983678,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.692016,No,4943 8999,2290.00,No,Lake Macquarie East,1,lakeside-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Lakeside School,Comprehensive,Medium / High Support needs,Not Selective,40-44 Coral Crescent,42,Gateshead,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4944 8154,Shortland,1976,Qtr 1,January,10,,,No,-32.990629,,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.716639,No,4944 8233,2290.00,No,Callaghan/Port Stephens,1,awabakal-e.school@det.nsw.edu.au,Co-Ed,Environmental Education Centre,Awabakal Environmental Education Centre,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),Not Selective,Boundary St,,Dudley,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4947 1135,Shortland,1955,Qtr 1,January,1,903,22,No,-32.977049,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.66862,No,4948 8085,2290.00,No,Lake Macquarie East,1,mthutton-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mount Hutton Public School,Comprehensive,Kinder to Year 6,Not Selective,12 Dunkley Pde,175,Mount Hutton,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4947 1427,Shortland,1892,Qtr 3,July,1,1031,5,No,-32.979971,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.648614,No,4948 8129,2282.00,No,Lake Macquarie East,1,warnersbay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Warners Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,88 Mills Street,441,Warners Bay,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4948 9720,Shortland,1953,Qtr 1,January,1,838,42,No,-32.992372,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.678338,No,4948 8864,2306.00,Yes,Lake Macquarie East,1,windale-p.school@det.nsw.edu.au,Co-Ed,Primary School,Windale Public School,Comprehensive,Kinder to Year 6,Not Selective,Kilfera St,162,Windale,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 1734,Newcastle,1990,Qtr 1,January,28,,21,No,-32.94283,,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.700379,No,4957 3274,2289.00,No,Newcastle,1,kotara-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Kotara School,Comprehensive,Emotional disturbance,Not Selective,Seaview & Park Aves,28,Kotara,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 2203,Newcastle,1959,Qtr 1,January,10,1060,3,No,-32.946528,8,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.694255,No,4957 5319,2289.00,No,Newcastle,1,kotarasth-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kotara South Public School,Comprehensive,Kinder to Year 6,Not Selective,150 Rae Crescent,287,Kotara,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 2450,Newcastle,1968,Qtr 1,January,7,1094,2,No,-32.946197,14,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.711766,No,4952 1735,2289.00,No,Newcastle,1,belair-p.school@det.nsw.edu.au,Co-Ed,Primary School,Belair Public School,Comprehensive,Kinder to Year 6,Not Selective,Carolyn St,529,Adamstown,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 2458,Newcastle,1950,Qtr 1,January,1,1067,6,No,-32.931487,14,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.717578,Yes,4957 1168,2305.00,No,Newcastle,1,newlambtos-p.school@det.nsw.edu.au,Co-Ed,Primary School,New Lambton South Public School,Comprehensive,Kinder to Year 6,Not Selective,St James Rd,453,New Lambton,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 5297,Shortland,1966,Qtr 1,January,1,1029,3,No,-32.967703,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.653691,No,4954 9488,2282.00,No,Lake Macquarie East,1,warnersbay-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Warners Bay High School,Comprehensive,Year 7 to Year 12,Not Selective,1 Myles Ave,1286.9,Warners Bay,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4956 6413,Shortland,1962,Qtr 1,January,1,963,9,No,-32.951363,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.670299,No,4954 9966,2285.00,No,Lake Macquarie East,1,cardiff-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Cardiff High School,Comprehensive,Year 7 to Year 12,Not Selective,Boronia St,682.4,Cardiff,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Charlestown,No,4963 3490,Newcastle,1891,Qtr 1,January,1,999,19,No,-32.937547,5,Newcastle (C),Hunter New England,Tamworth & Coffs Harbour,151.742152,No,4963 1318,2291.00,No,Newcastle,1,merewether-p.school@det.nsw.edu.au,Co-Ed,Primary School,Merewether Public School,Comprehensive,Kinder to Year 6,Not Selective,6 Henry Street,157,Merewether,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 1611,Robertson,2007,Qtr 1,January,28,,np,No,-33.416874,0,Gosford (C),Central Coast,Macquarie Park,151.35037,No,4323 2800,2250.00,No,Gosford,1,Ngosfordlc-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,North Gosford Learning Centre,Comprehensive,Behaviour Disorder,Not Selective,20 Jarrett Street,31,North Gosford,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4439,Hunter,1959,Qtr 1,January,9,896,15,No,-32.991749,6,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.601866,No,4959 2264,2283.00,No,Lake Macquarie West,1,fennellbay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Fennell Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,Bay Rd,146,Fennell Bay,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4459,Hunter,1962,Qtr 1,January,1,944,13,No,-33.008794,4,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.582022,No,4959 1788,2283.00,No,Lake Macquarie West,1,toronto-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Toronto High School,Comprehensive,Year 7 to Year 12,Not Selective,Field Ave,966,Toronto,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4717,Hunter,1890,Qtr 2,June,1,915,19,No,-33.00826,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.594778,No,4959 1571,2283.00,No,Lake Macquarie West,1,toronto-p.school@det.nsw.edu.au,Co-Ed,Primary School,Toronto Public School,Comprehensive,Kinder to Year 6,Not Selective,Renwick St,176,Toronto,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4901,Hunter,1956,Qtr 1,January,1,853,39,No,-33.008389,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.576296,No,4959 1902,2283.00,No,Lake Macquarie West,1,biraban-p.school@det.nsw.edu.au,Co-Ed,Primary School,Biraban Public School,Comprehensive,Kinder to Year 6,Not Selective,Beckley St,106,Toronto,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4905,Hunter,1891,Qtr 2,June,1,969,np,No,-33.010554,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.538068,No,4959 2502,2283.00,No,Lake Macquarie West,1,awaba-p.school@det.nsw.edu.au,Co-Ed,Primary School,Awaba Public School,Comprehensive,Kinder to Year 6,Not Selective,Mulbring Street,36,Awaba,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4913,Hunter,1953,Qtr 1,January,1,936,11,No,-32.998435,np,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.577743,No,4959 1213,2283.00,No,Lake Macquarie West,1,blackallpk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blackalls Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Charles St,224,Blackalls Park,
Hunter,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4950 4914,Hunter,1955,Qtr 1,January,1,1069,3,No,-33.040828,7,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.610798,No,4959 1374,2283.00,No,Lake Macquarie West,1,coalpoint-p.school@det.nsw.edu.au,Co-Ed,Primary School,Coal Point Public School,Comprehensive,Kinder to Year 6,Not Selective,Coal Point Rd,222,Coal Point,
